05-10-2023 	 05:12:58 	 a292fc33-a0b7-4642-af8b-ea1332af93d1 	 GET	undefined	/ 
05-10-2023 	 05:13:20 	 2a96d5b1-3836-4890-b4cb-4e053898634c 	 GET	undefined	/states 
05-10-2023 	 08:33:15 	 8a3f44ab-f89b-4f12-b5c4-dd6af731e159 	 GET	undefined	/states 
05-10-2023 	 08:36:06 	 d24c93a7-0c2c-44fe-9e33-2a58d3d55a3f 	 GET	undefined	/states/:state 
05-10-2023 	 08:36:50 	 c6a6f0cd-3fd7-4c4d-8521-8427a1b58b2e 	 GET	undefined	/states/?contig=true 
05-10-2023 	 08:37:33 	 c39f78c1-4529-42fd-a62b-eb2b10776cde 	 GET	undefined	/states/ks/nickname 
05-10-2023 	 08:37:37 	 8f1e4fee-662e-42a2-bb83-33e7b0ebec44 	 GET	undefined	/states/ks/nickname 
05-10-2023 	 08:38:05 	 5a852693-ada5-4fa0-8b04-d8f3f8a6ad09 	 GET	undefined	/states/states/ks 
05-10-2023 	 08:39:08 	 ee31abac-78ed-4ff2-9acd-845608cc61de 	 GET	undefined	/states/states/?contig=true 
05-10-2023 	 08:39:50 	 3d21130c-e0ab-48a5-98e3-cdcb1a692a4c 	 GET	undefined	/sstates/?contig=true 
05-10-2023 	 08:40:44 	 97e93af3-3a6e-48ff-8298-8b6b51016188 	 GET	undefined	/states/?contig=true 
05-10-2023 	 08:40:55 	 9c16aefa-77ad-4e46-971b-5f69d6e9d552 	 GET	undefined	/states/ks/population 
05-10-2023 	 08:52:52 	 3bc0edee-d3ae-4df3-abe8-7137b323ee7e 	 GET	undefined	/states/ks/funfact 
05-10-2023 	 08:55:28 	 0a546d0d-9129-4b93-a2b5-5890fcff4056 	 GET	undefined	/states/ks/funfact 
05-10-2023 	 08:55:34 	 c398637b-0fc6-4584-9900-7081b1de15eb 	 GET	undefined	/states/ks/funfact[1] 
05-10-2023 	 08:55:41 	 9b1adc7d-1db1-4234-b288-65f6b207fc47 	 GET	undefined	/states/ks/funfact1 
05-10-2023 	 08:55:51 	 edb9a7bc-48f5-4cf4-9455-6a0a66fa4f79 	 GET	undefined	/states/ks/funfact0 
05-10-2023 	 08:55:54 	 be78956b-9443-443f-80b0-edafee8f2e46 	 GET	undefined	/states/ks/funfact 
05-10-2023 	 09:04:44 	 cbd21fa5-a470-4f9b-83fa-f015d5b67552 	 GET	undefined	/states/KS/funfact 
05-10-2023 	 09:07:11 	 4272e3dd-34aa-4212-8375-0d9e8a82e5f9 	 GET	undefined	/states/KS/funfacts 
05-10-2023 	 09:07:14 	 1e05b68e-9ed0-461a-b086-a56c1b6f8162 	 GET	undefined	/states/KS/funfact 
05-10-2023 	 09:08:49 	 4789a47c-339c-43f9-9116-850ccde57e81 	 GET	undefined	/states/KS/funfact 
05-10-2023 	 09:08:51 	 49e253d3-7fde-40bf-9980-f0e691ac2725 	 GET	undefined	/states/KS/funfact 
05-10-2023 	 09:09:03 	 afe936bc-e4aa-4aa7-9632-2bb284984a85 	 GET	undefined	/states/KS/funfact 
05-10-2023 	 09:10:53 	 7eb33a97-10db-49e3-a40a-fbce3dcc74e7 	 GET	undefined	/states/al/funfact 
05-10-2023 	 09:11:36 	 0af1dc61-e672-4407-b9dd-42f7153525fa 	 GET	undefined	/states/KS/funfact 
